emotion,text,,,
anger,"A certain friend tried to push me off a seat in a very violent á
way for no apparent reason.  It may be that he was excited about á
something.",,,
anger,"Once I had an argument with my friends and I knew that I was á
right.  My friends went on arguing with me even though they did á
not know the right thing.",,,
anger,"When it became clear that a man had used many people sexually á
and psychologically, despite the fact that many people looked up á
to him.  I understood that one could not trust him and I was á
forced to hide this for a while.",,,
anger,"When I talked with a teacher yesterday who, to say the least, was á
rude and unwise and had irrelevant opinions about a friend.",,,
anger,"I felt anger against a colleague of mine during a rehearsal in á
acting. He hadn't learnt the text of an opera act in the course of á
several months and thus making difficulties for the rest of my á
colleagues.",,,
anger,"[ During my childhood when I could not get what I wanted from my á
brother/sister and parents.]",,,
anger,"An utterance, which I had intended to be a joke, was taken as an á
offence.  In my opinion, this was stupid, and I got angry.",,,
anger,"When a person the same age as me insisted that I call him á
""Mister"".  I refused to succumb, but he persisted and I got angry á
as he had belittled me.",,,
anger,[ Ther are many instances which are all equally irritating.],,,
anger,"When the Real Madrid football team lost against the inter in the á
U.E.F.A cup.",,,
anger,An old lady slipped and nobody helped her.,,,
anger,"When playing a football match, there was one player who made mean á
tackels, kicked at everything and did things having nothing to do á
with football.",,,
anger,"I got angry at a friend of mine whom I caught reading my notebook á
(almanach).",,,
anger,"Somebody wanted to beat my brother at a wedding ceremony and I á
was trying to protect my brother but the other man was calling á
names to both of us.",,,
anger,"In a course I thought that I deserved good marks but I only got á
ordinary marks with no justification as to why I was given these á
marks.",,,
anger,"When my sister took my things without having asked for my permission á
first.",,,
anger,"It happened that my brother promised to give me money for school á
and then he told me that he had failed to fulfil his promise a á
day before school started. I became so angry for I thought my á
future would be ruined.",,,
anger,"When in a difficult moment I couldn't express myself correctly á
and my thought came out with distortions bringing about highly á
negative and distorted results.",,,
anger,"When my mother decided to clean out my room and throw out what á
she thought was junk, without my knowing about it, so I returned á
home to find half my stuff gone.",,,
anger,"Somebody was blaming me of a story which was not real and not á
true.",,,
anger,"One day in a clinic, the father of a child came in and assaulted á
a colleague for something that she had not done deliberately.",,,
anger,"We were just about to go into the Exam room and I didn't see all á
my writing materials plus the identification card from the place á
where I left them.",,,
anger,"My sister had promised to help me to do a translation from á
English into German. But the day I needed her she told me that á
she was busy - I was very angry.",,,
anger,"Sometime ago I felt very angry when my mother wrote me telling me á
that my elder sister was messing up things at home by her á
internalised aggressive attitude towards parents and her husband.",,,
anger,"When I left after the examination to enter the University, and á
even though I had studied the whole year I made a bad exam. ",,,
anger,"If they force me to eat something I don't like. For example, my á
parents always twaddle and whine, when I don't eat all the food.",,,
anger,"My young brother took my wristwatch in my abscence and sold it to á
his friend at a cheaper price.",,,
anger,"My mother read a letter that a friend of mine had written to me á
telling me how she had got drunk the last time.",,,
anger,"There is a mad boy in our village. This boy hit me with a raw á
paw-paw in the face.",,,
anger,"When my parents drove me to a nearby place and went home á
immediately instead of waiting a few hours.  They could have á
easily waited.",,,
anger,"In the University we were convoked to a stroll like a freshman I á
was still innocent about the manipulation. On seeing the goal of á
the exaltation to poor character people, I felt anger on feeling á
myself mass of maneuver.",,,
anger,"When I got to know about the reaction of a friend of mine in a á
certain situation.  I had not expected him to react that way.",,,
anger,"I once caught a letter in my girlfriend's handbag from a certain á
man. I felt anger.",,,
anger,"I work for a journal. Once the lay-out came to nothing, due to á
thoughtlessness of some colleagues.",,,
anger,"I am a teacher in arts and crafts (boys from 15-16 years). for á
them it is obligatory and they dislike it. They tease me. When one of á
them cut up some material I flared up.",,,
anger,When I felt being treated unjustly by a teacher.,,,
anger,"I felt angry when my only pair of trousers was stolen and could á
not be able to find out who the thief was or anyone who knew á
about the story.",,,
anger,"I was in ""Hainburg"" in December and I was angry about the á
politicians and the police.",,,
anger,"It was in March 1985 when one of my fellow students borrowed my á
wristwatch and after sometime he broke a glass of that watch I á
got angry when he was telling me but the anger didn't take long á
to fade.",,,
anger,"[ One day I arrived home rather tired and found the house..... In á
addition I was asked many questions which I did not want to á
answer.]",,,
anger,"When I was pointed out as a problem child in primary school and á
my mother took the teacher's point of view.",,,
anger,"The emotion came when a certain boy opened my locker without my á
knowledge.",,,
anger,"I was on a farm with a few friends and during the talk I á
discovered that a friend of mine, was being betrayed by her á
boyfriend and a 3rd friend of ours.",,,
anger,"This situation happened when my friend John ate my banana which I á
kept in the cupboard.",,,
anger,"My mother told me that I could not go to the mountains.  Despite á
my age, as long as I am in her house I must do what she says.",,,
anger,"I was angry with a person who behaved terribly at a ball á
offending her relatives.",,,
anger,"I invited two friends. We should go out together. Those two girls á
kept talking about boys, chatting up etc. I bacame sick of it.",,,
anger,My bed sheet (present of my parents) damaged by roommate.,,,
anger,"A certain Area Party Secretary came home in the morning and said á
we had to leave our home and build somewhere and the reason á
being that they wanted to establish a market. The Chairman knew á
nothing about it and was very angry.",,,
anger,"When I was teased by my friend for not scoring good marks in the á
exams.",,,
anger,"I felt it on the same occasion when I felt sadness which finally á
grew into anger.",,,
anger,"At a certain situation I felt myself neglected and undeservedly á
harmed.",,,
anger,"A friend of mine played a joke on another friend over the á
telephone.  This friend, crying, called me and I got very angry á
and made the other person apologize.",,,
anger,When I got low marks in B.Sc final.,,,
anger,When my mother interfered in my life.,,,
anger,"This also happened when I was very small.  I was beaten up by my  á
mother for no fault of mine, I had just beaten up my younger á
brother for what I thought was his fault.  I was very angry with á
my mother.",,,
anger,I was angry when my abilities of a singer were underestimated.,,,
anger,"When I found one of my new pullovers wrinkled inside the á
wardrobe.  My brother had done it.",,,
anger,"I was very angry when my friend lost my practical's journal, á
which I needed to study for the exams.",,,
anger,"Discussing with a certain person about a job I was getting and á
that perosn was negative and pessimistic.",,,
anger,"Someone who always took care for the key of the sportshall stayed á
away without letting us know. Next time he did as if nothing had á
happened.",,,
anger,"I missed an opportunity to go abroad because of some silly á
mistakes for which I had to suffer a lot.",,,
anger,"When my boyfriend sat up half the night playing computer games á
with a friend.",,,
anger,"I was angry at my boyfriend who had promised to come to see me á
but did not because he spent the evening with his pals.",,,
anger,"I wanted to go to Bhopal for relief work (gas tragedy).  My boss á
simply refused to let me go, I was so angry that the only thought á
that came to my mind was to quit the job.",,,
anger,"As I usually do not start learning until a short time before an á
examination,, I once made up my mind to try to work for a longer á
time. But once again I did not do it - and got a bad mark.",,,
anger,"I was waiting to receive the participation on the profits and did á
not receive it.",,,
anger,"I was the compere at a party and all my efforts to get the show á
rolling were thwarted by the immobile, non co-operative guests.  á
I felt frustation - bordering on anger.",,,
anger,"One day, when riding on a bicycle path, a car coming from the á
opposite direction forced me to get off my bike although I had á
the priority.",,,
anger,"My parents scolded me a lot for something I had not done.  It was á
my sister who had done it.",,,
anger,"[ When bad and disgusting language is uttered by people, or when á
someone tries to show what is beyond his own capacities.]",,,
anger,"Unfair and unjust attitude toward a person close to me, what I á
was the witness of, caused anger in me.",,,
anger,"Once, during a performance I did not sing the way I had to.",,,
anger,"I was very angry one day when my husband ignored me and slept      á
on a separate bed.  He had no reasons to doubt me or to neglect á
me and I had never imagined that he could do such a thing.",,,
anger,"I get angry when someone imputes on me things I never can do, á
naturally negative. Servility, ""connections"", impudence, traits á
that get me mad.",,,
anger,"I've a situation of responsibility an employee who had a habit of á
being late, came late again after promising to say he would be at á
work in a few minutes, then arrived 3 hours later. He had been á
drinking.",,,
anger,"I had an implicit agreement with my sister about meeting her, á
however she had not understood the situation the same way so she á
did not turn up.",,,
anger,"When I was blamed for some of my attributes which are very often á
misunderstood, especially when one is very frank.",,,
anger,"When I was mistakenly accused of being a thief when I accidently á
gave a fake coin at a counter.  I realized this before I handed á
over the coin, but the man called me a thief and called a á
witness.",,,
anger,"When my mother told things to my sister, which I told my mother á
in confindence.",,,
anger,"When a relative, who had come to our place, created untidyness á
and dirtyness.",,,
anger,"Teenage neighbours smashed my letterbox for the fifth time in a á
couple of months. It was a deliberate action of kids who had á
stayed in my home, had meals there yet took a dislike to my á
daughter. ",,,
anger,"My friend and I were to attend a very important meeting and he á
had promised to come and pick me up.  But he did not turn up and á
I felt very angry at him.",,,
anger,When I was insulted by a man.,,,
anger,"When a cousin of mine took my bottle of T.B tablets, put water in á
it and threw it in the dust-bin.",,,
anger,"When my brother did not send me the transport money to resume      á
my studies in time at UNZA.",,,
anger,When boyfriend lied to me.,,,
anger,"When I was a soldier I quarrelled with my commander and may be in á
revenge for this he detailed me on duty two successive nights. á
Naturally he checked me up on the second night and found me á
asleep for which he sent me to the cells.",,,
anger,"I remember that when I was in school I saw a case of partiality - á
one of the teachers gave private coaching classes to some girls á
and she would give these girls extra attention in class and would á
ignore the others.",,,
anger,"When I heard that my girlfriend was talking behind my back and á
looking down on me.",,,
anger,"[ This emotion has never been an intense one, that makes it á
difficult to recall it.]",,,
anger,"I have a friend that I deeply trusted but it happened that I lost á
my confidence in her for which she herself was to blame.",,,
anger,"At a cash desk where I had gone to buy 16 rolls of kitchen paper á
at a reduced price.  After queuing with screaming children; it á
turned out that I had taken two 8 roll packets instead of the one á
16 roll packet to which the rebate applied.  The assist",,,
